PCP,TMPMX,TMPMN,SOLAR,RH,WIND,DewTmp,
1.361,-1.848,-6.212,9.937,0.751,6.746,0,
0.077,-0.451,-10.502,13.277,0.545,5.636,0,
0,2.216,-8.5,12.466,0.711,3.082,0,
2.467,1.021,-4.742,2.46,0.85,2.956,0,
13.796,1.943,0.421,2.957,0.966,3.43,0,
18.081,0.22,-2.83,0.882,0.957,4.206,0,
1.457,-0.093,-4.128,8.162,0.891,5.28,0,
0.179,-0.053,-8.201,13.17,0.734,4.415,0,
0,2.82,-5.335,7.31,0.629,1.971,0,
0.867,1.53,-2.783,2.113,0.657,2.913,0,
12.987,3.747,-0.652,6.748,0.899,3.608,0,
0,9.165,-2.431,11.509,0.888,2.978,0,
1.883,7.603,-5.68,4.064,0.926,5.932,0,
0.105,-1.505,-9.686,13.089,0.524,6.409,0,
0,6.943,-7.433,11.447,0.455,3.62,0,
1.79,8.914,3.23,3.14,0.957,3.678,0,
5.079,14.184,8.566,1.667,0.98,2.406,0,
5.959,16.9,12.644,1.102,0.976,3.777,0,
34.316,19.013,16.802,2.437,0.954,4.809,0,
11.477,17.898,4.734,2.877,0.926,5.587,0,
0.397,5.911,0.161,12.526,0.761,6.786,0,
0,10.647,-1.456,12.347,0.698,3.496,0,
0.675,11.189,0.935,9.399,0.809,8.054,0,
0.007,7.06,-4.29,14.242,0.545,5.343,0,
4.058,3.807,-2.038,2.962,0.69,3.476,0,
10.332,2.982,0.827,2.158,0.962,3.486,0,
0.103,2.351,-2.111,12.861,0.881,4.85,0,
0,2.884,-5.518,14.833,0.742,3.521,0,
1.443,1.072,-5.264,3.308,0.823,3.068,0,
3.46,4.782,-0.906,6.307,0.916,2.821,0,
0.031,0.334,-10.327,14.675,0.758,5.367,0,
0,3.975,-8.379,9.783,0.711,2.738,0,
5.309,3.434,0.958,1.971,0.793,3.062,0,
4.157,3.98,0.391,3.793,0.974,2.854,0,
2.09,3.751,-2.016,3.317,0.931,2.989,0,
9.042,3.544,0.082,3.831,0.953,4.082,0,
20.494,1.94,0.093,2.327,0.954,3.01,0,
1.519,3.271,0.383,7.338,0.913,4.183,0,
0.9,5.69,-0.605,3.883,0.966,4.966,0,
0.141,0.468,-12.109,15.817,0.824,4.819,0,
0,9.002,-4.243,16.579,0.74,3.579,0,
0.488,10.621,2.353,6.832,0.967,4.108,0,
1.772,12.348,5.933,2.333,0.979,4.103,0,
1.324,10.156,4.923,2.98,0.98,2.048,0,
2.516,16.208,9.664,2.545,0.974,5.101,0,
2.214,17.565,8.621,2.619,0.957,6.95,0,
5.22E-01,6.138,-5.651,7.19,0.859,7.572,0,
2.63E+01,0.473,-4.432,1.833,0.905,4.09,0,
7.859,2.144,-5.965,15.927,0.892,3.474,0,
