PCP,TMPMX,TMPMN,SOLAR,RH,WIND,DewTmp,
0.914,-2.269,-6.37,9.013,0.758,6.991,0,
0.081,-0.529,-10.383,13.187,0.552,5.759,0,
0,1.772,-8.408,12.565,0.723,3.322,0,
2.918,0.948,-4.315,2.383,0.864,3.076,0,
12.383,1.467,-0.088,2.931,0.968,3.697,0,
14.687,-0.327,-3.465,0.88,0.954,4.563,0,
1.016,-0.064,-4.468,9.347,0.894,5.506,0,
0.117,-0.569,-8.26,13.379,0.772,4.23,0,
0,1.838,-5.386,6.873,0.704,2.3,0,
1.358,1.372,-2.732,2.219,0.712,3.173,0,
15.607,3.575,-0.765,5.37,0.916,3.57,0,
0.031,8.497,-1.253,10.024,0.91,3.276,0,
1.643,7.39,-5.523,4.53,0.921,6.374,0,
0.077,-1.554,-9.692,13.153,0.515,6.646,0,
0,6.655,-7.046,11.366,0.46,4.022,0,
1.248,9.479,2.965,3.627,0.965,4.162,0,
3.981,14.366,8.982,2.261,0.977,2.648,0,
6.171,17.097,12.413,1.299,0.973,4.277,0,
35.738,19.075,16.597,2.831,0.954,5.083,0,
10.506,17.933,5.004,3.341,0.918,5.789,0,
0.333,6.194,0.261,13.12,0.749,7.037,0,
0,10.37,-0.608,12.352,0.677,3.809,0,
0.587,10.964,1.314,10.102,0.794,8.556,0,
0.003,7.126,-3.704,14.245,0.528,5.213,0,
4.398,2.921,-1.827,2.874,0.739,3.777,0,
10.506,3.107,0.918,2.502,0.972,3.56,0,
0.067,2.707,-2.146,13.421,0.879,4.925,0,
0,3.085,-5.17,14.938,0.734,3.428,0,
1.857,0.801,-4.834,3.196,0.82,3.275,0,
3.738,5.21,-1.283,8.18,0.911,2.933,0,
0.007,0.174,-9.966,15.031,0.769,5.399,0,
0,3.482,-8.012,8.961,0.714,2.924,0,
2.997,3.779,0.479,2.53,0.813,3.357,0,
1.887,3.751,0.407,4.401,0.976,3.074,0,
2.024,3.393,-2.044,3.504,0.918,3.155,0,
9.742,3.269,0.185,3.85,0.955,4.107,0,
19.544,2.157,0.188,2.355,0.957,2.947,0,
1.466,3.378,0.15,7.825,0.909,4.291,0,
0.782,5.85,-1.355,4.931,0.974,5.473,0,
0.118,0.138,-11.772,16.077,0.85,5.026,0,
0,8.551,-4.578,16.71,0.8,3.822,0,
0.52,10.784,2.275,8.148,0.973,4.424,0,
1.536,11.377,5.036,2.984,0.987,4.383,0,
1.213,8.955,3.572,3.472,0.992,2,0,
2.88,16.026,8.383,2.547,0.979,5.338,0,
2.17,17.562,7.955,4.541,0.959,7.277,0,
4.48E-01,5.636,-6.254,8,0.878,8.043,0,
2.72E+01,-0.546,-5.561,2.032,0.925,4.557,0,
7.011,2.376,-6.735,16.555,0.894,3.533,0,
0,7.97,-7.195,18.421,0.891,2.183,0,
3.172,8.316,1.844,3.089,0.978,3.794,0,
1.634,14.26,8.622,3.85,0.962,3.204,0,
2.398,18.264,14.247,2.817,0.951,5.506,0,
8.764,20.526,13.305,13.565,0.874,4.097,0,
8.01,14.11,1.233,2.893,0.916,6.027,0,
1.289,9.425,-1.616,17.418,0.779,7.945,0,
0,13.533,-0.9,19.285,0.678,2.829,0,
0.13,15.4,4.414,16.247,0.721,4.28,0,
3.505,14.153,7.977,16.159,0.835,5.856,0,
0,17.426,3.661,18.986,0.829,2.31,0,
